sample_id,legacy_test_sample_id,orig_index,tissue_name,gt_instance_count,gt_empty,density_bin,prediction_status,included_E1,included_E2,included_E3,pred_instance_count,bpq,dq,sq,aji_kumar,aji_plus,dice,tp,fp,fn,matched_iou_sum,fn_merged,fn_complex,fn_true_miss,fn_low_iou,fp_split,fp_complex,fp_spurious,fp_low_iou
fold3_0000000,sa_0004946,0,Breast,13,0,"[10,25)",AVAILABLE,1,1,1,13,0.5842623110013508,0.7692307692307693,0.7595410043017561,0.6908705940964005,0.7036809815950921,0.8613097381552549,10,3,3,7.595410802558565,2,0,0,1,1,0,0,2
fold3_0000001,sa_0004947,1,Breast,8,0,"[1,10)",AVAILABLE,1,1,1,9,0.7319254461950766,0.9411764705882353,0.7776707865822688,0.7905138339920948,0.7905138339920948,0.8830022075055187,8,1,0,6.221367070328937,0,0,0,0,0,0,1,0
fold3_0000002,sa_0004948,2,Breast,11,0,"[10,25)",AVAILABLE,1,1,1,12,0.5025260191844012,0.6956521739130435,0.7223811525775767,0.44864817415730335,0.44864817415730335,0.6734533115191177,8,4,3,5.779049943001766,0,0,1,2,2,0,1,1
fold3_0000003,sa_0004949,3,Breast,11,0,"[10,25)",AVAILABLE,1,1,1,9,0.5178474297252751,0.6,0.8630790495421251,0.6351928747668051,0.6351928747668051,0.776902693949654,6,3,5,5.1784751603318,0,0,4,1,0,0,2,1
fold3_0000004,sa_0004950,4,Breast,11,0,"[10,25)",AVAILABLE,1,1,1,8,0.6158862656860542,0.7368421052631579,0.8358456462882164,0.7307254537830228,0.7307254537830228,0.8444152158111523,7,1,4,5.850920359863162,0,0,3,1,0,0,0,1
fold3_0000005,sa_0004951,5,Breast,14,0,"[10,25)",AVAILABLE,1,1,1,11,0.6328208102274995,0.72,0.8789177919826382,0.7163221292935669,0.7163221292935669,0.8347175825186184,9,2,5,7.910261006761535,0,0,5,0,0,0,2,0
fold3_0000006,sa_0004952,6,Breast,8,0,"[1,10)",AVAILABLE,1,1,1,7,0.6504699221782374,0.8,0.8130874027227967,0.7482808131187183,0.7482808131187183,0.894315971471796,6,1,2,4.8785252294241825,0,0,2,0,1,0,0,0
fold3_0000007,sa_0004953,7,Breast,10,0,"[10,25)",AVAILABLE,1,1,1,5,0.562999644154621,0.6666666666666666,0.8444994662319316,0.5192355218716533,0.5192355218716533,0.6835484220800347,5,0,5,4.222498175659124,0,0,5,0,0,0,0,0
fold3_0000008,sa_0004954,8,Breast,13,0,"[10,25)",AVAILABLE,1,1,1,13,0.6362075195161424,0.7692307692307693,0.8270697753709851,0.6714136125654451,0.6714136125654451,0.8034080942237815,10,3,3,8.270698580779626,0,0,2,1,0,0,2,1
fold3_0000009,sa_0004955,9,Breast,11,0,"[10,25)",AVAILABLE,1,1,1,11,0.6830416914338532,0.8181818181818182,0.8348287339747094,0.7062925312946317,0.7062925312946317,0.8278680452978828,9,2,2,7.5134594406011175,0,0,2,0,0,0,2,0
fold3_0000010,sa_0004956,10,Breast,11,0,"[10,25)",AVAILABLE,1,1,1,7,0.5432739196022034,0.6666666666666666,0.8149108794033052,0.5548536805466031,0.5048421675168182,0.8457457260758499,6,1,5,4.889466091330711,2,0,3,0,0,0,0,1
fold3_0000011,sa_0004957,11,Breast,14,0,"[10,25)",AVAILABLE,1,1,1,14,0.6245924895432698,0.7857142857142857,0.7949358957823435,0.7037544890630101,0.7037544890630101,0.8261219484152837,11,3,3,8.744295648541673,0,0,3,0,0,0,3,0
fold3_0000012,sa_0004958,12,Breast,23,0,"[10,25)",AVAILABLE,1,1,1,16,0.7121323702606991,0.8205128205128205,0.867911326255227,0.8161864025213867,0.8161864025213867,0.8987914471645491,16,0,7,13.88658208799496,0,0,7,0,0,0,0,0
fold3_0000013,sa_0004959,13,Breast,11,0,"[10,25)",AVAILABLE,1,1,1,10,0.5741886023813796,0.7619047619047619,0.7536225406255608,0.534627959972258,0.549303683737646,0.7823124320405944,8,2,3,6.028981078627027,2,0,1,0,0,0,1,1
fold3_0000014,sa_0004960,14,Breast,10,0,"[10,25)",AVAILABLE,1,1,1,13,0.6076810528557139,0.782608695652174,0.7764813453156345,0.6628413138108429,0.6628413138108429,0.8244883388862446,9,4,1,6.988332884322055,0,0,1,0,1,0,3,0
fold3_0000015,sa_0004961,15,Breast,17,0,"[10,25)",AVAILABLE,1,1,1,11,0.5411992344731538,0.6428571428571429,0.841865475847128,0.6015927794000531,0.6336805555555556,0.8919589089620971,9,2,8,7.576790124489627,5,0,3,0,0,0,0,2
fold3_0000016,sa_0004962,16,Breast,15,0,"[10,25)",AVAILABLE,1,1,1,9,0.4068479489608722,0.5,0.8136958979217443,0.47861279743214014,0.48051330798479086,0.7706795077581594,6,3,9,4.882176201226364,0,3,6,0,0,2,1,0
