method,protocol,dimension,bin,sample_count,gt_instance_count,bpq,aji_kumar,dice,r_merge,r_miss,coverage_rate,metric_scope
exp5,E1,gt_area,"[1,10)",690,889,0.0,0.00014966244330681357,NOT_APPLICABLE_INSTANCE_STRATUM,0.0843644544431946,0.8807649043869517,0.11923509561304838,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E1,gt_area,"[10,20)",566,694,0.0,0.0005524310684558788,NOT_APPLICABLE_INSTANCE_STRATUM,0.07780979827089338,0.8861671469740634,0.1138328530259366,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E1,gt_area,"[20,50)",1091,1870,0.000746930486829293,0.003746592147021689,NOT_APPLICABLE_INSTANCE_STRATUM,0.1457663451232583,0.8038585209003215,0.19786096256684493,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E1,gt_area,"[50,100)",1445,3883,0.048446509528548384,0.057074478952624456,NOT_APPLICABLE_INSTANCE_STRATUM,0.2075637642919965,0.7112283787745529,0.3752253412310069,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E1,gt_area,"[100,200)",1962,9323,0.2857539019769949,0.27627593330010486,NOT_APPLICABLE_INSTANCE_STRATUM,0.28115835777126097,0.5819281524926686,0.6594443848546605,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E1,gt_area,"[200,+inf)",2574,49994,0.6696949346237656,0.6517326139090521,NOT_APPLICABLE_INSTANCE_STRATUM,0.45350299622697343,0.27446918694976696,0.9257910949313918,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
exp5,E2,gt_density,"[0,1)",0,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,0.0,0.0,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,gt_density,"[1,10)",405,2238,0.5691513587801551,0.5982964590612431,0.74691692994685,0.16228070175438597,0.7105263157894737,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,gt_density,"[10,25)",1133,19125,0.5968899179383178,0.6148668560965617,0.8165874782114518,0.27362956176515496,0.5976484959535807,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
exp5,E2,gt_density,"[25,50)",849,28688,0.5847564575795109,0.5840093953953674,0.8463374524868018,0.35529847292919947,0.46719111522443313,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
