method,protocol,dimension,bin,sample_count,gt_instance_count,bpq,aji_kumar,dice,r_merge,r_miss,coverage_rate,metric_scope
visual,E1,gt_area,"[10,20)",566,694,0.0,0.0005386814255601351,NOT_APPLICABLE_INSTANCE_STRATUM,0.0893371757925072,0.8703170028818443,0.12968299711815562,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
visual,E1,gt_area,"[20,50)",1091,1870,0.0010232510371696829,0.0037410669044317885,NOT_APPLICABLE_INSTANCE_STRATUM,0.15933476394849785,0.7848712446351931,0.21764705882352942,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
visual,E1,gt_area,"[50,100)",1445,3883,0.04953953935491557,0.058617203249706665,NOT_APPLICABLE_INSTANCE_STRATUM,0.21804290332059947,0.6896855715545107,0.3955704352304919,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
visual,E1,gt_area,"[100,200)",1962,9323,0.2898704083811785,0.2828882771304114,NOT_APPLICABLE_INSTANCE_STRATUM,0.291835980790543,0.5535648319172516,0.6785369516250134,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
visual,E1,gt_area,"[200,+inf)",2574,49994,0.6667970114745921,0.6471285994946329,NOT_APPLICABLE_INSTANCE_STRATUM,0.45696155281821577,0.2555431131019037,0.9315317838140577,V1 GT-area-conditioned: predictions assigned by maximum intersection to selected GT; zero-overlap predictions excluded
visual,E2,gt_density,"[0,1)",0,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,0.0,0.0,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E2,gt_density,"[1,10)",405,2238,0.5622746827026659,0.5876861438071578,0.737290641716506,0.17231638418079095,0.7090395480225988,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E2,gt_density,"[10,25)",1133,19125,0.5876826568463387,0.6025177746341871,0.8026772303683893,0.2688999547306474,0.5972536592726724,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E2,gt_density,"[25,50)",849,28688,0.5839998132139312,0.5808506313823454,0.8440056560459736,0.367552790346908,0.43674585218702866,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E2,gt_density,"[50,+inf)",220,16602,0.5115243661610922,0.49365114979119523,0.8323459191878682,0.39917055469155005,0.3251684810782789,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
visual,E2,tissue,Adrenal Gland,154,2346,0.575373459509846,0.5809374844106824,0.7316893831775222,0.18544600938967137,0.7511737089201878,NOT_COMPUTED_FOR_GROUP,mean per-image standard metric
